slot,P_grid_kw,P_it_kw,P_grid_it_kw,P_chiller_kw,P_ups_ch_kw,P_ups_disch_kw,E_ups_kwh,E_tes_kwh,total_cpu,da_price,x_bm_off_kw,x_bm_bid_kw,committed_down_kw,committed_up_kw
65,6135.540962430258,5920.492468691882,4920.492468691882,684.0984937383764,0.0,1000.0,5728.260869565217,10000.0,0.6008013513718525,134.35,21663.606025046494,4538.902303741531,5826.233052922973,1325.5567338282096
66,5935.540962430258,4920.492468691882,4920.492468691882,484.09849373837636,0.0,0.0,5728.260869565217,9305.555555555555,0.4901161952740707,134.35,22463.606025046494,4738.902303741531,5826.233052922973,1325.5567338282096
67,5935.540962430258,4920.492468691882,4920.492468691882,484.09849373837636,0.0,0.0,5728.260869565217,8611.111111111111,0.4901161952740707,137.72,22463.606025046494,4738.902303741531,5826.233052922973,1325.5567338282096
68,6769.403704263076,4920.492468691882,4920.492468691882,1317.9612355711945,0.0,0.0,5728.260869565217,7916.666666666667,0.4901161952740707,137.72,23297.468766879312,3905.039561908713,5826.233052922973,1325.5567338282096
69,5935.540962430258,4920.492468691882,4920.492468691882,484.09849373837636,0.0,0.0,5728.260869565217,7222.222222222223,0.4901161952740707,150.02,22463.606025046494,4738.902303741531,5826.233052922973,1325.5567338282096
70,5935.540962430258,4920.492468691882,4920.492468691882,484.09849373837636,0.0,0.0,5728.260869565217,6527.777777777777,0.4901161952740707,150.02,22463.606025046494,4738.902303741531,5826.233052922973,1325.5567338282096
71,6397.686520042555,4920.492468691882,4920.492468691882,946.2440513506727,0.0,0.0,5728.260869565217,5833.333333333333,0.4901161952740707,146.6,22925.75158265879,3813.7937831662716,5826.233052922973,1788.5196967911727
72,6119.319889771851,4920.492468691882,4920.492468691882,667.8774210799693,0.0,0.0,5728.260869565217,5138.888888888889,0.4901161952740707,146.6,22647.384952388085,4092.160413436975,5826.233052922973,1788.5196967911727
73,6287.000458890222,4920.492468691882,4920.492468691882,835.5579901983399,0.0,0.0,5728.260869565217,4444.444444444444,0.4901161952740707,142.97,22815.065521506458,4387.442807281567,5826.233052922973,1325.5567338282096
74,6185.866628512887,4920.492468691882,4920.492468691882,734.4241598210047,0.0,0.0,5728.260869565217,3749.9999999999995,0.4901161952740707,142.97,22713.931691129124,4488.576637658903,5826.233052922973,1325.5567338282096
