local_date,intervals,mean_price,price_std,minimum_price,maximum_price,mean_grid_import,peak_grid_import,mean_total_cpu,settlement_cost,opening_ups,opening_tes,opening_cold_aisle,negative_price_share,representative_score
2025-10-22,96,86.90208333333334,28.890117629851666,51.72,173.19,772.0209443026689,1290.5181700098,0.5654166666666668,1519.100417575738,300.0,-0.0,23.0,0.0,0.39722030208581
2025-11-17,96,80.07000000000001,16.653653558366855,52.22,114.36,773.243898593164,1186.60032793732,0.5666598818206763,1440.1686955985367,300.0,-0.0,23.0,0.0,0.398873751083036
2025-07-10,96,83.85333333333334,14.46961292659946,69.01,114.88,776.2535839649621,1186.61062002002,0.5654166666666667,1507.8907950507007,300.0,-0.0,23.0,0.0,0.39984392177574885
2025-10-30,96,72.82416666666667,18.470742250874643,19.43,93.86,773.0957798895216,1331.63054798509,0.5654166666666668,1291.8990546698212,300.0,-0.0,23.0,0.0,0.4002527895363253
2025-04-02,96,74.81166666666667,26.8711872562677,31.41,116.08,776.951586521055,1356.59402646327,0.563309622798403,1254.9544023180313,300.0,-0.0,23.0,0.0,0.40265597985836576
2025-03-27,96,88.38125000000001,17.017550893740633,55.89,123.49,780.8149214184579,1626.59401460678,0.5654166666666667,1555.7048780061816,300.0,-0.0,23.0,0.0,0.4028348171681043
2025-08-27,96,84.02166666666666,11.188171448046253,66.99,104.02,774.2340926486995,1199.97237059214,0.5654166666666668,1514.1838150248216,300.0,-0.0,23.0,0.0,0.4039904343038817
2025-05-22,96,86.29166666666667,11.561455623767747,69.97,107.42,776.6925019708401,1607.68118226357,0.5654166666666667,1560.5473716517506,300.0,-0.0,23.0,0.0,0.4057101230173454
2025-04-24,96,84.06833333333334,12.583555406428925,70.38,107.5,774.7270146801288,1239.85186013034,0.563894196265469,1501.4348013928893,300.0,-0.0,23.0,0.0,0.40628762957570747
2025-09-23,96,90.94291666666668,20.462448786762483,68.49,140.41,778.820381195752,1604.57354913237,0.5654166666666667,1597.2941206476505,300.0,-0.0,23.0,0.0,0.40699970829716337
2025-01-29,96,98.2675,18.562806332754995,64.18,129.91,771.1428024148694,1285.41298320685,0.5654166666666667,1773.394671261336,300.0,-0.0,23.0,0.0,0.4072442814549342
2025-08-15,96,79.7175,9.742215569906385,68.34,103.13,770.4264591462651,1239.85186141573,0.5654166666666668,1442.9617300897323,300.0,-0.0,23.0,0.0,0.4075369717175934
2025-11-05,96,78.17291666666667,11.354686852078833,60.39,100.94,773.4700747224457,1290.26069382339,0.5675237105349303,1414.613702466261,300.0,-0.0,23.0,0.0,0.4080572096459007
2025-10-02,96,75.18458333333334,17.52450746611226,24.24,110.1,778.5428810976891,1577.96166465973,0.5654166666666667,1323.5901132412437,300.0,-0.0,23.0,0.0,0.40880739535701527
2025-08-06,96,69.77166666666666,19.712710442312492,34.58,100.94,772.3959893377122,1601.49787949383,0.5654166666666667,1248.6335419263596,300.0,-0.0,23.0,0.0,0.40941978512570654
